year,weekNumber,location,price_per_kg,product,variety,description
2005,45,European Union,0.5964,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2005,45,Italy,0.8017,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2005,45,Italy,1.0333,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2005,45,Spain,0.7604,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2005,45,Spain,0.5132,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,44,European Union,0.6601,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2005,44,European Union,0.8212,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,44,European Union,0.6927,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,44,European Union,0.5,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,44,Italy,0.8,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
